word,counts,date
contact,2,2020-04-01
outcomes,2,2020-04-01
attributed,2,2020-04-01
adverse,2,2020-04-01
event,2,2020-04-01
relevant,2,2020-04-01
tests,2,2020-04-01
laboratory,2,2020-04-01
data,2,2020-04-01
history,2,2020-04-01
suspect,2,2020-04-01
products,2,2020-04-01
serial,2,2020-04-01
implanted,2,2020-04-01
therefore,2,2020-04-01
implantexplant,2,2020-04-01
dates,2,2020-04-01
reprocessor,2,2020-04-01
user,2,2020-04-01
facility,2,2020-04-01
importer,2,2020-04-01
ind,2,2020-04-01
terms,2,2020-04-01
initial,2,2020-04-01
followup,2,2020-04-01
type,2,2020-04-01
organ,2,2020-04-01
recovery,2,2020-04-01
systems,2,2020-04-01
ors,2,2020-04-01
received,2,2020-04-01
customer,2,2020-04-01
complaint,2,2020-04-01
lkt200,2,2020-04-01
leaked,2,2020-04-01
fluid,2,2020-04-01
transplant,2,2020-04-01
center,2,2020-04-01
decided,2,2020-04-01
discard,2,2020-04-01
kidney,2,2020-04-01
patient,2,2020-07-01
information,2,2020-07-01
apply,2,2020-07-01
contact,2,2020-07-01
outcomes,2,2020-07-01
attributed,2,2020-07-01
adverse,2,2020-07-01
event,2,2020-07-01
relevant,2,2020-07-01
tests,2,2020-07-01
laboratory,2,2020-07-01
data,2,2020-07-01
history,2,2020-07-01
suspect,2,2020-07-01
products,2,2020-07-01
serial,2,2020-07-01
implanted,2,2020-07-01
therefore,2,2020-07-01
implantexplant,2,2020-07-01
dates,2,2020-07-01
reprocessor,2,2020-07-01
user,2,2020-07-01
facility,2,2020-07-01
importer,2,2020-07-01
ind,2,2020-07-01
terms,2,2020-07-01
initial,2,2020-07-01
followup,2,2020-07-01
type,2,2020-07-01
organ,2,2020-07-01
recovery,2,2020-07-01
systems,2,2020-07-01
ors,2,2020-07-01
received,2,2020-07-01
customer,2,2020-07-01
complaint,2,2020-07-01
lkt200,2,2020-07-01
leaked,2,2020-07-01
fluid,2,2020-07-01
transplant,2,2020-07-01
center,2,2020-07-01
decided,2,2020-07-01
discard,2,2020-07-01
kidney,2,2020-07-01
devices,1,2020-07-01
explanations,1,2020-07-01
problem,1,2020-07-01
evaluation,1,2020-07-01
codes,1,2020-07-01
described,1,2020-07-01
b4,1,2020-07-01
method,1,2020-07-01
code,1,2020-07-01
investigator,1,2020-07-01
visually,1,2020-07-01
inspected,1,2020-07-01
perfusion,1,2020-07-01
circuit,1,2020-07-01
found,1,2020-07-01
luer,1,2020-07-01
connection,1,2020-07-01
sample,1,2020-07-01
port,1,2020-07-01
filter,1,2020-07-01
tube,1,2020-07-01
disconnected,1,2020-07-01
residue,1,2020-07-01
solution,1,2020-07-01
could,1,2020-07-01
seen,1,2020-07-01
within,1,2020-07-01
threads,1,2020-07-01
lock,1,2020-07-01
providing,1,2020-07-01
evidence,1,2020-07-01
leakage,1,2020-07-01
components,1,2020-07-01
fitting,1,2020-07-01
show,1,2020-07-01
cracks,1,2020-07-01
deformation,1,2020-07-01
damage,1,2020-07-01
tightened,1,2020-07-01
accordance,1,2020-07-01
instructions,1,2020-07-01
use,1,2020-07-01
loaded,1,2020-07-01
onto,1,2020-07-01
lkt101p,1,2020-07-01
lifeport,1,2020-07-01
transporter,1,2020-07-01
functionally,1,2020-07-01
tested,1,2020-07-01
using,1,2020-07-01
water,1,2020-07-01
simulate,1,2020-07-01
perfusate,1,2020-07-01
blue,1,2020-07-01
food,1,2020-07-01
dye,1,2020-07-01
aid,1,2020-07-01
identifying,1,2020-07-01
leak,1,2020-07-01
identified,1,2020-07-01
customers,1,2020-07-01
confirmed,1,2020-07-01
batch,1,2020-07-01
records,1,2020-07-01
also,1,2020-07-01
reviewed,1,2020-07-01
correctionremoval,1,2020-07-01
reporting,1,2020-07-01
