word,counts,date
commonly,19,2020-03-01
usually,21,2020-03-01
indication,21,2020-03-01
malfunction,71,2020-03-01
conclusively,85,2020-03-01
showed,51,2020-03-01
specifications,77,2020-03-01
udi,34,2020-03-01
b4,48,2020-03-01
disabled,29,2020-03-01
central,18,2020-03-01
29mm,51,2020-03-01
discharged,60,2020-03-01
home,25,2020-03-01
stable,63,2020-03-01
pod,46,2020-03-01
therefore,47,2020-03-01
11,31,2020-03-01
shows,30,2020-03-01
issue,31,2020-03-01
nine,19,2020-03-01
three,15,2020-03-01
intended,8,2020-03-01
remained,16,2020-03-01
satisfactory,3,2020-03-01
monitoring,3,2020-03-01
2,52,2020-03-01
5,33,2020-03-01
old,17,2020-03-01
retrieve,22,2020-03-01
process,25,2020-03-01
typically,19,2020-03-01
inappropriate,1,2020-03-01
sizing,3,2020-03-01
distortion,1,2020-03-01
anatomy,5,2020-03-01
cases,22,2020-03-01
detected,4,2020-03-01
tee,12,2020-03-01
completion,5,2020-03-01
surgical,60,2020-03-01
exchange,3,2020-03-01
one,52,2020-03-01
another,13,2020-03-01
complications,11,2020-03-01
concomitant,2,2020-03-01
cabg,1,2020-03-01
switched,1,2020-03-01
smaller,3,2020-03-01
expired,5,2020-03-01
based,36,2020-03-01
mdr,18,2020-03-01
corrective,4,2020-03-01
preventative,4,2020-03-01
21mm,53,2020-03-01
deficiency,24,2020-03-01
original,4,2020-03-01
died,2,2020-03-01
surgery,38,2020-03-01
either,16,2020-03-01
chronic,19,2020-03-01
operational,10,2020-03-01
mechanical,35,2020-03-01
stress,30,2020-03-01
biological,18,2020-03-01
generally,25,2020-03-01
believed,16,2020-03-01
major,24,2020-03-01
contributors,9,2020-03-01
lead,18,2020-03-01
period,17,2020-03-01
get,28,2020-03-01
unsuccessful,36,2020-03-01
degermation,1,2020-03-01
indeterminable,40,2020-03-01
able,19,2020-03-01
article,20,2020-03-01
longterm,6,2020-03-01
survival,3,2020-03-01
versus,11,2020-03-01
technique,9,2020-03-01
treat,10,2020-03-01
degenerated,4,2020-03-01
bioprostheses,16,2020-03-01
authors,2,2020-03-01
daniel,1,2020-03-01
hernándezvaquero,1,2020-03-01
following,22,2020-03-01
pertaining,3,2020-03-01
edward,1,2020-03-01
tavi,4,2020-03-01
defective,1,2020-03-01
inconclusive,18,2020-03-01
since,23,2020-03-01
inspection,17,2020-03-01
operation,15,2020-03-01
incident,23,2020-03-01
epic,10,2020-03-01
selected,10,2020-03-01
exchanged,5,2020-03-01
requested,18,2020-03-01
approximately,28,2020-03-01
notification,27,2020-03-01
approximate,6,2020-03-01
nonedwards,9,2020-03-01
recovering,5,2020-03-01
6,24,2020-03-01
explantsreplacements,4,2020-03-01
indicated,12,2020-03-01
plays,13,2020-03-01
progressive,15,2020-03-01
timedependent,13,2020-03-01
initiated,14,2020-03-01
primarily,13,2020-03-01
within,32,2020-03-01
residual,13,2020-03-01
cells,13,2020-03-01
devitalized,13,2020-03-01
initial,25,2020-03-01
deposits,14,2020-03-01
enlarge,13,2020-03-01
grow,13,2020-03-01
mass,15,2020-03-01
stiffen,13,2020-03-01
weaken,13,2020-03-01
thereby,13,2020-03-01
prosthesis,27,2020-03-01
mineralization,13,2020-03-01
biomaterial,13,2020-03-01
enhanced,13,2020-03-01
sites,13,2020-03-01
intense,14,2020-03-01
deformations,13,2020-03-01
generated,13,2020-03-01
motion,24,2020-03-01
points,13,2020-03-01
flexion,13,2020-03-01
ultimately,18,2020-03-01
tearing,14,2020-03-01
many,24,2020-03-01
onset,23,2020-03-01
propagation,19,2020-03-01
include,21,2020-03-01
age,31,2020-03-01
state,20,2020-03-01
pharmacological,19,2020-03-01
etc,19,2020-03-01
hemodynamic,22,2020-03-01
performance,38,2020-03-01
glutaraldehyde,13,2020-03-01
fixation,13,2020-03-01
relatively,15,2020-03-01
minor,13,2020-03-01
contributor,13,2020-03-01
anticalcification,13,2020-03-01
treatments,13,2020-03-01
though,19,2020-03-01
numerous,19,2020-03-01
studies,20,2020-03-01
conducted,22,2020-03-01
preventive,19,2020-03-01
strategies,19,2020-03-01
causes,35,2020-03-01
fully,22,2020-03-01
understood,22,2020-03-01
mechanisms,19,2020-03-01
therapies,19,2020-03-01
prevent,19,2020-03-01
calcifying,18,2020-03-01
observed,29,2020-03-01
combined,9,2020-03-01
risk,22,2020-03-01
allege,21,2020-03-01
confirmed,44,2020-03-01
3000,5,2020-03-01
eight,23,2020-03-01
annulus,18,2020-03-01
heavily,5,2020-03-01
calcified,10,2020-03-01
3300tfx,16,2020-03-01
enlargement,3,2020-03-01
moderate,36,2020-03-01
04,1,2020-03-01
mar,1,2020-03-01
full,6,2020-03-01
currently,8,2020-03-01
undergoing,8,2020-03-01
testing,3,2020-03-01
informed,8,2020-03-01
occurred,15,2020-03-01
presently,7,2020-03-01
2500p,2,2020-03-01
porcine,5,2020-03-01
five,15,2020-03-01
reasons,18,2020-03-01
tpvr,7,2020-03-01
9600tfx,31,2020-03-01
tolerated,12,2020-03-01
recovered,1,2020-03-01
pod1,1,2020-03-01
seven,13,2020-03-01
eleven,2,2020-03-01
mitral,83,2020-03-01
demonstrated,10,2020-03-01
excellent,12,2020-03-01
evidence,5,2020-03-01
significant,22,2020-03-01
perivalvular,10,2020-03-01
vascular,2,2020-03-01
damage,3,2020-03-01
effusion,4,2020-03-01
complaints,1,2020-03-01
12,21,2020-03-01
resultsmethod,21,2020-03-01
codes,23,2020-03-01
along,28,2020-03-01
subsequent,24,2020-03-01
submission,24,2020-03-01
2012,2,2020-03-01
trifecta,37,2020-03-01
presented,41,2020-03-01
class,6,2020-03-01
ii,5,2020-03-01
dyspnea,6,2020-03-01
high,19,2020-03-01
gradient,34,2020-03-01
135mmhg,1,2020-03-01
redo,14,2020-03-01
avr,17,2020-03-01
planned,4,2020-03-01
delayed,1,2020-03-01
hospitalized,10,2020-03-01
successfully,35,2020-03-01
postoperatively,5,2020-03-01
successful,7,2020-03-01
discarded,8,2020-03-01
host,18,2020-03-01
complex,6,2020-03-01
triggered,3,2020-03-01
interaction,3,2020-03-01
highly,3,2020-03-01
variable,4,2020-03-01
among,15,2020-03-01
literature,16,2020-03-01
defines,3,2020-03-01
pannus,15,2020-03-01
scarring,4,2020-03-01
ingrowth,4,2020-03-01
predict,3,2020-03-01
occurrence,4,2020-03-01
severity,10,2020-03-01
given,9,2020-03-01
certain,3,2020-03-01
degree,5,2020-03-01
growth,7,2020-03-01
expected,7,2020-03-01
particular,3,2020-03-01
sixteen,1,2020-03-01
16,10,2020-03-01
bentall,2,2020-03-01
ostial,2,2020-03-01
coronary,19,2020-03-01
artery,6,2020-03-01
leaflet,48,2020-03-01
originally,6,2020-03-01
different,9,2020-03-01
facility,1,2020-03-01
correct,5,2020-03-01
myocardial,5,2020-03-01
infarction,4,2020-03-01
caused,11,2020-03-01
20mm,6,2020-03-01
ats,3,2020-03-01
¿recovered¿,1,2020-03-01
cardiac,37,2020-03-01
bypass,18,2020-03-01
graft,1,2020-03-01
two,25,2020-03-01
rami,1,2020-03-01
sutures,5,2020-03-01
doctor,1,2020-03-01
commented,3,2020-03-01
whether,15,2020-03-01
2013,9,2020-03-01
trfiecta,1,2020-03-01
thrombosis,6,2020-03-01
rare,5,2020-03-01
wellrecognized,11,2020-03-01
complication,12,2020-03-01
prosthetic,24,2020-03-01
formation,7,2020-03-01
clots,5,2020-03-01
forming,5,2020-03-01
valvering,5,2020-03-01
significantly,6,2020-03-01
impact,5,2020-03-01
functionality,14,2020-03-01
resulting,15,2020-03-01
thromboembolism,5,2020-03-01
immediate,11,2020-03-01
thrombolytic,5,2020-03-01
therapy,6,2020-03-01
placed,7,2020-03-01
anticoagulant,5,2020-03-01
33mm,8,2020-03-01
31mm,13,2020-03-01
thrombus,5,2020-03-01
permanent,18,2020-03-01
pacemaker,21,2020-03-01
27,4,2020-03-01
mm,10,2020-03-01
tmvr,12,2020-03-01
month,26,2020-03-01
details,29,2020-03-01
learned,12,2020-03-01
presentation,7,2020-03-01
titled,9,2020-03-01
cracking,3,2020-03-01
magna,12,2020-03-01
postdilatation,1,2020-03-01
sewing,10,2020-03-01
ring,19,2020-03-01
fractured,3,2020-03-01
accordingly,6,2020-03-01
citation,13,2020-03-01
mehdiani,1,2020-03-01
et,19,2020-03-01
al,19,2020-03-01
midterm,1,2020-03-01
singlecentre,1,2020-03-01
outcomes,13,2020-03-01
biointegral,1,2020-03-01
compared,1,2020-03-01
freestyle,5,2020-03-01
j,5,2020-03-01
card,3,2020-03-01
iovasc,1,2020-03-01
surg,3,2020-03-01
torino,1,2020-03-01
dec,2,2020-03-01
doi,10,2020-03-01
1023736s0021950919110981,1,2020-03-01
earliest,13,2020-03-01
publish,13,2020-03-01
used,19,2020-03-01
unique,13,2020-03-01
identifier,13,2020-03-01
seriallot,14,2020-03-01
numbers,18,2020-03-01
observations,15,2020-03-01
previously,17,2020-03-01
comparison,4,2020-03-01
composite,1,2020-03-01
stentless,5,2020-03-01
prospectively,1,2020-03-01
collected,8,2020-03-01
single,3,2020-03-01
center,3,2020-03-01
february,2,2020-03-01
july,1,2020-03-01
2017,7,2020-03-01
study,14,2020-03-01
population,8,2020-03-01
included,8,2020-03-01
267,1,2020-03-01
predominantly,6,2020-03-01
male,7,2020-03-01
mean,21,2020-03-01
67,1,2020-03-01
weight,3,2020-03-01
74,3,2020-03-01
kg,2,2020-03-01
65,2,2020-03-01
deaths,6,2020-03-01
followup,17,2020-03-01
31,1,2020-03-01
directly,7,2020-03-01
associated,25,2020-03-01
intraoperative,4,2020-03-01
co,1,2020-03-01
mpletepermanent,1,2020-03-01
atrioventricular,6,2020-03-01
block,14,2020-03-01
valverelated,1,2020-03-01
unspecified,3,2020-03-01
grafting,2,2020-03-01
misplacement,1,2020-03-01
extracorporeal,2,2020-03-01
membrane,2,2020-03-01
oxygenation,2,2020-03-01
intraaortic,1,2020-03-01
balloon,4,2020-03-01
pump,2,2020-03-01
support,2,2020-03-01
stroke,3,2020-03-01
bleeding,6,2020-03-01
tracheostomy,3,2020-03-01
newonset,4,2020-03-01
atrial,6,2020-03-01
fibrillation,5,2020-03-01
wound,3,2020-03-01
infection,14,2020-03-01
endocarditis,21,2020-03-01
decreased,5,2020-03-01
ejection,5,2020-03-01
fraction,6,2020-03-01
six,8,2020-03-01
normally,2,2020-03-01
physician,10,2020-03-01
prematurely,4,2020-03-01
malfunctioned,2,2020-03-01
paravalvular,14,2020-03-01
leak,21,2020-03-01
visual,10,2020-03-01
xray,4,2020-03-01
wireform,4,2020-03-01
cocr,2,2020-03-01
band,2,2020-03-01
intact,4,2020-03-01
vfit,2,2020-03-01
alloy,2,2020-03-01
expanded,2,2020-03-01
cut,3,2020-03-01
6mm,1,2020-03-01
long,9,2020-03-01
near,2,2020-03-01
commissure,7,2020-03-01
edges,1,2020-03-01
straight,1,2020-03-01
even,3,2020-03-01
marks,2,2020-03-01
appeared,6,2020-03-01
serrated,2,2020-03-01
attached,9,2020-03-01
pvl,10,2020-03-01
refers,4,2020-03-01
flowing,4,2020-03-01
channel,4,2020-03-01
structure,7,2020-03-01
lack,4,2020-03-01
sealing,4,2020-03-01
inadequate,6,2020-03-01
debridement,6,2020-03-01
small,16,2020-03-01
pvls,4,2020-03-01
intraoperatively,9,2020-03-01
require,8,2020-03-01
corrected,4,2020-03-01
standard,7,2020-03-01
techniques,7,2020-03-01
injury,10,2020-03-01
death,12,2020-03-01
reportable,3,2020-03-01
allegation,14,2020-03-01
alleged,9,2020-03-01
led,6,2020-03-01
reinforced,1,2020-03-01
patch,3,2020-03-01
throughout,6,2020-03-01
engineering,3,2020-03-01
pending,1,2020-03-01
avrcabg,1,2020-03-01
heavy,2,2020-03-01
native,6,2020-03-01
problem,1,2020-03-01
echo,17,2020-03-01
¿under,2,2020-03-01
treatment¿,2,2020-03-01
although,25,2020-03-01
proven,4,2020-03-01
term,5,2020-03-01
overgrowth,9,2020-03-01
four,16,2020-03-01
good,28,2020-03-01
pvs23,12,2020-03-01
diagonal,2,2020-03-01
vat,2,2020-03-01
reportedly,7,2020-03-01
values,2,2020-03-01
checks,2,2020-03-01
days,24,2020-03-01
became,8,2020-03-01
symptomatic,5,2020-03-01
gradients,16,2020-03-01
40mmhg,2,2020-03-01
images,3,2020-03-01
show,3,2020-03-01
dshape,2,2020-03-01
stent,13,2020-03-01
ct,2,2020-03-01
scan,2,2020-03-01
angiography,2,2020-03-01
percutaneous,7,2020-03-01
expand,2,2020-03-01
32mmhg,2,2020-03-01
asymptomatic,5,2020-03-01
seem,2,2020-03-01
circular,2,2020-03-01
shape,2,2020-03-01
theb6,1,2020-03-01
requests,8,2020-03-01
healthcare,8,2020-03-01
provider,8,2020-03-01
7300tfx,14,2020-03-01
sure,2,2020-03-01
site,6,2020-03-01
requiring,8,2020-03-01
intracardiac,3,2020-03-01
dualchamber,2,2020-03-01
preoperatively,2,2020-03-01
baseline,3,2020-03-01
ecg,4,2020-03-01
normal,5,2020-03-01
right,15,2020-03-01
bundle,5,2020-03-01
branch,6,2020-03-01
rbbb,2,2020-03-01
7300tfxj,1,2020-03-01
ventricular,11,2020-03-01
seen,5,2020-03-01
ruptured,2,2020-03-01
area,4,2020-03-01
repaired,1,2020-03-01
patches,1,2020-03-01
considered,9,2020-03-01
natural,2,2020-03-01
part,9,2020-03-01
healing,2,2020-03-01
reaction,3,2020-03-01
beneficial,2,2020-03-01
harmful,2,2020-03-01
amount,3,2020-03-01
suture,10,2020-03-01
line,5,2020-03-01
needed,4,2020-03-01
nonthrombogenic,2,2020-03-01
surface,7,2020-03-01
contrast,2,2020-03-01
excessive,3,2020-03-01
extend,2,2020-03-01
onto,10,2020-03-01
surfaces,2,2020-03-01
leading,31,2020-03-01
cusps,4,2020-03-01
immobility,9,2020-03-01
elevated,7,2020-03-01
retraction,3,2020-03-01
curling,2,2020-03-01
records,12,2020-03-01
aneurysm,1,2020-03-01
68mm,1,2020-03-01
reconstruction,1,2020-03-01
28mm,1,2020-03-01
gelweave,1,2020-03-01
valsalva,1,2020-03-01
stated,3,2020-03-01
periprocedural,3,2020-03-01
arrhythmias,4,2020-03-01
conduction,12,2020-03-01
disturbances,12,2020-03-01
cardiovascular,7,2020-03-01
abnormalities,3,2020-03-01
exacerbated,3,2020-03-01
perioperative,7,2020-03-01
medications,3,2020-03-01
anesthesia,3,2020-03-01
instrumentation,3,2020-03-01
temporary,4,2020-03-01
pacemakers,3,2020-03-01
inserted,4,2020-03-01
uncommon,5,2020-03-01
short,4,2020-03-01
termreversible,3,2020-03-01
periods,3,2020-03-01
recovers,3,2020-03-01
cardiopulmonary,5,2020-03-01
pm,4,2020-03-01
subsequently,5,2020-03-01
discharge,4,2020-03-01
32,4,2020-03-01
need,4,2020-03-01
av,5,2020-03-01
system,7,2020-03-01
excision,3,2020-03-01
adjacent,3,2020-03-01
diseased,4,2020-03-01
annular,9,2020-03-01
anatomical,7,2020-03-01
relationship,3,2020-03-01
branching,3,2020-03-01
explains,3,2020-03-01
procedures,3,2020-03-01
factorscondition,1,2020-03-01
arrhythmia,1,2020-03-01
disturbance,10,2020-03-01
soon,2,2020-03-01
elite,1,2020-03-01
8300ab19,1,2020-03-01
sternotomy,1,2020-03-01
preoperative,1,2020-03-01
intuity,3,2020-03-01
non,4,2020-03-01
18,5,2020-03-01
modelxa0the,1,2020-03-01
research,9,2020-03-01
identifying,6,2020-03-01
listed,8,2020-03-01
perimount,11,2020-03-01
ease,9,2020-03-01
prostheses,13,2020-03-01
23,11,2020-03-01
obtained,10,2020-03-01
sapien,7,2020-03-01
definitively,2,2020-03-01
ifu,4,2020-03-01
inherent,2,2020-03-01
retained,1,2020-03-01
week,3,2020-03-01
17,7,2020-03-01
feb,3,2020-03-01
temperature,2,2020-03-01
revealed,11,2020-03-01
inflammation,4,2020-03-01
yet,4,2020-03-01
decided,5,2020-03-01
treatment,15,2020-03-01
antibiotics,5,2020-03-01
later,7,2020-03-01
clear,2,2020-03-01
septal,4,2020-03-01
meantime,2,2020-03-01
suffered,2,2020-03-01
renal,6,2020-03-01
referred,2,2020-03-01
25,9,2020-03-01
mvalsalva,2,2020-03-01
30mm,2,2020-03-01
postop,3,2020-03-01
transvalvular,4,2020-03-01
40,3,2020-03-01
mmhg,16,2020-03-01
possibility,1,2020-03-01
assessed,1,2020-03-01
gt,7,2020-03-01
shortness,7,2020-03-01
breath,8,2020-03-01
fatigue,4,2020-03-01
holes,3,2020-03-01
ultra,2,2020-03-01
seemed,4,2020-03-01
okay,2,2020-03-01
echocardiogram,14,2020-03-01
posterior,4,2020-03-01
prolapsed,2,2020-03-01
mosaic,10,2020-03-01
ans,2,2020-03-01
number3001883144202000026,1,2020-03-01
7,32,2020-03-01
tricuspid,15,2020-03-01
success,1,2020-03-01
disposition,8,2020-03-01
end,2,2020-03-01
scheduled,4,2020-03-01
myectomy,1,2020-03-01
alleviate,1,2020-03-01
symptoms,9,2020-03-01
hypertrophic,1,2020-03-01
cardiomyopathy,2,2020-03-01
signs,1,2020-03-01
wear,1,2020-03-01
tear,21,2020-03-01
mild,16,2020-03-01
early,14,2020-03-01
resolved,10,2020-03-01
mixture,3,2020-03-01
concluded,5,2020-03-01
diagnosed,4,2020-03-01
moderatesevere,4,2020-03-01
repeat,1,2020-03-01
approx,1,2020-03-01
mixed,1,2020-03-01
using,12,2020-03-01
transfemoral,3,2020-03-01
approach,9,2020-03-01
detzner,1,2020-03-01
tpv,3,2020-03-01
pregnant,3,2020-03-01
obstruction,6,2020-03-01
jacc,1,2020-03-01
january,3,2020-03-01
21135138,1,2020-03-01
httpsdoiorg101016jjaccas201911055,1,2020-03-01
yearold,1,2020-03-01
female,9,2020-03-01
twins,1,2020-03-01
doubleoutlet,1,2020-03-01
rastelli,1,2020-03-01
create,3,2020-03-01
ventriclepulmonary,1,2020-03-01
rvpac,1,2020-03-01
2mm,1,2020-03-01
contegra,2,2020-03-01
weeks¿,1,2020-03-01
gestation,1,2020-03-01
association,7,2020-03-01
nyha,4,2020-03-01
functional,2,2020-03-01
loud,1,2020-03-01
systolicdiastolic,1,2020-03-01
murmurs,1,2020-03-01
echocardiography,4,2020-03-01
stenosisregurgitation,1,2020-03-01
rv,2,2020-03-01
systolic,3,2020-03-01
pressures,3,2020-03-01
13,7,2020-03-01
catheterizationangiography,1,2020-03-01
obstructed,1,2020-03-01
inflowoutflow,1,2020-03-01
angioplasty,1,2020-03-01
persisted,3,2020-03-01
stenting,1,2020-03-01
melody,3,2020-03-01
intrauterine,1,2020-03-01
demise,1,2020-03-01
fetuses,1,2020-03-01
30,3,2020-03-01
fetus,1,2020-03-01
delivered,1,2020-03-01
stillborn,1,2020-03-01
live,1,2020-03-01
infant,1,2020-03-01
birth,1,2020-03-01
postimplantation,2,2020-03-01
trace,2,2020-03-01
valid,3,2020-03-01
15,7,2020-03-01
nonmedtronic,5,2020-03-01
54mmhg,1,2020-03-01
mode,6,2020-03-01
crucial,6,2020-03-01
underline,6,2020-03-01
ongoing,7,2020-03-01
replacements,4,2020-03-01
17year,3,2020-03-01
940,3,2020-03-01
implants,4,2020-03-01
httpsdoiorg101016jathorascur201910075,2,2020-03-01
28,3,2020-03-01
overall,5,2020-03-01
average,3,2020-03-01
68,3,2020-03-01
plus,4,2020-03-01
minus,3,2020-03-01
reoperated,4,2020-03-01
intrinsic,3,2020-03-01
diffuse,2,2020-03-01
leaflets,33,2020-03-01
resultant,2,2020-03-01
causing,5,2020-03-01
zhong,1,2020-03-01
c,5,2020-03-01
pregnancy,1,2020-03-01
severely,4,2020-03-01
stenotic,4,2020-03-01
catheter,1,2020-03-01
cardiovasc,1,2020-03-01
interv,1,2020-03-01
20191¿5,1,2020-03-01
101002ccd28481,1,2020-03-01
dilated,1,2020-03-01
decreasing,1,2020-03-01
weeks,6,2020-03-01
peak,3,2020-03-01
111mmhg,1,2020-03-01
69mmhg,1,2020-03-01
evolut,6,2020-03-01
r,6,2020-03-01
several,9,2020-03-01
functioning,15,2020-03-01
surgicalpercutaneous,3,2020-03-01
thickened,10,2020-03-01
malfunctions,6,2020-03-01
vegetation,3,2020-03-01
repair,9,2020-03-01
surgeries,2,2020-03-01
despite,5,2020-03-01
improvements,2,2020-03-01
types,3,2020-03-01
control,2,2020-03-01
measures,2,2020-03-01
categorized,2,2020-03-01
60,3,2020-03-01
less,4,2020-03-01
postimplant,7,2020-03-01
late,3,2020-03-01
greater,6,2020-03-01
